2026-05-08 17:59:11,216 - INFO - TestLogger - File log đã được tạo: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260508_175911\logs\log.txt
2026-05-08 17:59:11,295 - INFO - TestLogger - Báo cáo HTML: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260508_175911\html\report.html
2026-05-08 17:59:12,922 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC='test'0] =====
2026-05-08 18:07:22,079 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='021abcd!@#', DC='H\u01b0ng Y\xean', YC='test'] =====

2026-05-08 18:07:22,098 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='0218737692', DC='', YC='test'0] =====
2026-05-08 18:07:38,027 - INFO - TestLogger - TEST PASSED: test_mua_hang[TEN='Linh', SDT='0218737692', DC='', YC='test'0]
2026-05-08 18:07:40,291 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='0218737692', DC='', YC='test'0] =====

2026-05-08 18:07:40,296 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='0218737692', DC='', YC='test'1] =====
2026-05-08 18:07:58,132 - INFO - TestLogger - TEST PASSED: test_mua_hang[TEN='Linh', SDT='0218737692', DC='', YC='test'1]
2026-05-08 18:08:00,417 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='0218737692', DC='', YC='test'1] =====

2026-05-08 18:08:00,423 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''0] =====
2026-05-08 18:08:35,502 - ERROR - TestLogger - TEST FAILED: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''0]
2026-05-08 18:08:35,502 - ERROR - TestLogger - Screenshot: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260508_175911\screenshots\test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''0].png
2026-05-08 18:08:37,760 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''0] =====

2026-05-08 18:08:37,770 - INFO - TestLogger - Bắt đầu: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''1] =====
2026-05-08 18:08:57,787 - INFO - TestLogger - TEST PASSED: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''1]
2026-05-08 18:09:00,232 - INFO - TestLogger - Kết thúc: test_mua_hang[TEN='Linh', SDT='0218737692', DC='H\u01b0ng Y\xean', YC=''1] =====

