2026-03-05 09:35:30,002 - INFO - TestLogger - File log đã được tạo: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\logs\log.txt
2026-03-05 09:35:30,187 - INFO - TestLogger - Báo cáo HTML: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\html\report.html
2026-03-05 09:35:32,718 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='g\u1ea5u r\u1ea5t \u0111\u1eb9p', TEN=' ng\u1ecdc h\xe0', SDT='0927856143'] =====
2026-03-05 09:37:36,595 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='m\xecnh t\u1eebng mua \u1edf shop r\u1ed3i uy t\xedn nh\xe9', TEN=' #$%^', SDT='0981237645']
2026-03-05 09:37:38,957 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='m\xecnh t\u1eebng mua \u1edf shop r\u1ed3i uy t\xedn nh\xe9', TEN=' #$%^', SDT='0981237645'] =====

2026-03-05 09:37:38,963 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='\u0111\u1eb9p qu\xe1 shop \u01a1i', TEN=' ', SDT='0981237645'] =====
2026-03-05 09:38:09,510 - ERROR - TestLogger - TEST FAILED: test_binh_luan[ND='\u0111\u1eb9p qu\xe1 shop \u01a1i', TEN=' ', SDT='0981237645']
2026-03-05 09:38:09,510 - ERROR - TestLogger - Screenshot: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\screenshots\test_binh_luan[ND='\u0111\u1eb9p qu\xe1 shop \u01a1i', TEN=' ', SDT='0981237645'].png
2026-03-05 09:38:13,604 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='\u0111\u1eb9p qu\xe1 shop \u01a1i', TEN=' ', SDT='0981237645'] =====

2026-03-05 09:38:13,619 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='\u0111\u1eb9p', TEN='123', SDT='0981237645'] =====
2026-03-05 09:38:43,636 - ERROR - TestLogger - TEST FAILED: test_binh_luan[ND='\u0111\u1eb9p', TEN='123', SDT='0981237645']
2026-03-05 09:38:43,637 - ERROR - TestLogger - Screenshot: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\screenshots\test_binh_luan[ND='\u0111\u1eb9p', TEN='123', SDT='0981237645'].png
2026-03-05 09:38:45,858 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='\u0111\u1eb9p', TEN='123', SDT='0981237645'] =====

2026-03-05 09:38:45,873 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND=' ', TEN=' ', SDT='0981237645'] =====
2026-03-05 09:39:04,448 - ERROR - TestLogger - TEST FAILED: test_binh_luan[ND=' ', TEN=' ', SDT='0981237645']
2026-03-05 09:39:04,448 - ERROR - TestLogger - Screenshot: D:\Đồ án 4\DoAn4\scripts\DoAn4_Bemori\reports\20260305_093530\screenshots\test_binh_luan[ND=' ', TEN=' ', SDT='0981237645'].png
2026-03-05 09:39:06,653 - INFO - TestLogger - Kết thúc: test_binh_luan[ND=' ', TEN=' ', SDT='0981237645'] =====

2026-03-05 09:39:06,667 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND='\u0111\u1eb9p x\u1ec9u', TEN=' ', SDT=''] =====
2026-03-05 09:39:22,844 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND='\u0111\u1eb9p x\u1ec9u', TEN=' ', SDT='']
2026-03-05 09:39:25,084 - INFO - TestLogger - Kết thúc: test_binh_luan[ND='\u0111\u1eb9p x\u1ec9u', TEN=' ', SDT=''] =====

2026-03-05 09:39:25,089 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND=' ', TEN=' ', SDT=''] =====
2026-03-05 09:39:43,310 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND=' ', TEN=' ', SDT='']
2026-03-05 09:39:47,128 - INFO - TestLogger - Kết thúc: test_binh_luan[ND=' ', TEN=' ', SDT=''] =====

2026-03-05 09:39:47,133 - INFO - TestLogger - Bắt đầu: test_binh_luan[ND=' ', TEN=' chinh ph\u1ea1m', SDT='0981237645'] =====
2026-03-05 09:40:03,319 - INFO - TestLogger - TEST PASSED: test_binh_luan[ND=' ', TEN=' chinh ph\u1ea1m', SDT='0981237645']
2026-03-05 09:40:05,543 - INFO - TestLogger - Kết thúc: test_binh_luan[ND=' ', TEN=' chinh ph\u1ea1m', SDT='0981237645'] =====

